ConceptScheme,Concept,prefLabel,sortorder
"ISCO88_Ganzeboom","2450","writers & creative or performing artists",115
"ISCO88_Ganzeboom","2451","authors journalists & other writers",116
"ISCO88_Ganzeboom","2452","sculptors, painters etc artists",117
"ISCO88_Ganzeboom","2453","composers musicians & singers",118
"ISCO88_Ganzeboom","2454","choreographers & dancers",119
"ISCO88_Ganzeboom","2455","film, stage etc actors & directors",120
"ISCO88_Ganzeboom","2460","religious professionals",121
"ISCO88_Ganzeboom","3000","technicians and associated professionals",122
"ISCO88_Ganzeboom","3100","physical & engineering science associate professionals",123
"ISCO88_Ganzeboom","3110","physical & engineering science technicians",124
"ISCO88_Ganzeboom","3111","chemical & physical science technicians",125
"ISCO88_Ganzeboom","3112","civil engineering technicians",126
"ISCO88_Ganzeboom","3113","electrical engineering technicians",127
"ISCO88_Ganzeboom","3114","electronics & telecommunications engineering technicians",128
"ISCO88_Ganzeboom","3115","mechanical engineering technicians",129
"ISCO88_Ganzeboom","3116","chemical engineering technicians",130
"ISCO88_Ganzeboom","3117","mining & metallurgical technicians",131
"ISCO88_Ganzeboom","3118","draughtspersons",132
"ISCO88_Ganzeboom","3119","physical & engineering science technicians nec",133
"ISCO88_Ganzeboom","3120","computer associate professionals",134
"ISCO88_Ganzeboom","3121","computer assistants",135
"ISCO88_Ganzeboom","3122","computer equipment operators",136
"ISCO88_Ganzeboom","3123","industrial robot controllers",137
"ISCO88_Ganzeboom","3130","optical & electronic equipment operators",138
"ISCO88_Ganzeboom","3131","photographers & elctr equipment operators",139
"ISCO88_Ganzeboom","3132","broadcasting & telecommunications equipment operators",140
"ISCO88_Ganzeboom","3133","medical equipment operators",141
"ISCO88_Ganzeboom","3139","optical & electronic equipment operators nec",142
"ISCO88_Ganzeboom","3140","ship & aircraft controllers & technicians",143
"ISCO88_Ganzeboom","3141","ships engineers",144
"ISCO88_Ganzeboom","3142","ships deck officers & pilots",145
"ISCO88_Ganzeboom","3143","aircraft pilots etc associate professionals",146
"ISCO88_Ganzeboom","3144","air traffic controllers",147
"ISCO88_Ganzeboom","3145","air traffic safety technicians",148
"ISCO88_Ganzeboom","3150","safety & ouality inspectors",149
"ISCO88_Ganzeboom","3151","building & fire inspectors",150
"ISCO88_Ganzeboom","3152","safety, health & quality inspectors",151
"ISCO88_Ganzeboom","3200","life science & health associate professionals",152
"ISCO88_Ganzeboom","3210","life science technicians etc associate professionals",153
"ISCO88_Ganzeboom","3211","life science technicians",154
"ISCO88_Ganzeboom","3212","agronomy & forestry technicians",155
"ISCO88_Ganzeboom","3213","farming & forestry advisers",156
"ISCO88_Ganzeboom","3220","modern health associate professionals except nursing",157
"ISCO88_Ganzeboom","3221","medical assistants",158
"ISCO88_Ganzeboom","3222","sanitarians",159
"ISCO88_Ganzeboom","3223","dieticians & nutritionists",160
"ISCO88_Ganzeboom","3224","optometrists & opticians",161
"ISCO88_Ganzeboom","3225","dental assistants",162
"ISCO88_Ganzeboom","3226","physiotherapists etc associate professionals",163
"ISCO88_Ganzeboom","3227","veterinary assistants",164
"ISCO88_Ganzeboom","3228","pharmaceutical assistants",165
"ISCO88_Ganzeboom","3229","modern health associate professionals except nursing nec",166
"ISCO88_Ganzeboom","3230","nursing & midwifery associate professionals",167
"ISCO88_Ganzeboom","3231","nursing associate professionals",168
"ISCO88_Ganzeboom","3232","midwifery associate professionals",169
"ISCO88_Ganzeboom","3240","traditional medicine practitioners & faith healers",170
"ISCO88_Ganzeboom","3241","traditional medicine practitioners",171
"ISCO88_Ganzeboom","3242","faith healers",172
"ISCO88_Ganzeboom","3300","teaching associate professionals",173
"ISCO88_Ganzeboom","3310","primary education teaching associate professionals",174
"ISCO88_Ganzeboom","3320","pre-primary education teaching associate professionals",175
"ISCO88_Ganzeboom","3330","special education teaching associate professionals",176
"ISCO88_Ganzeboom","3340","other teaching associate professionals",177
"ISCO88_Ganzeboom","3400","other associate professionals",178
"ISCO88_Ganzeboom","3410","finance & sales associate professionals",179
"ISCO88_Ganzeboom","3411","securities & finance dealers & brokers",180
"ISCO88_Ganzeboom","3412","insurance representatives",181
"ISCO88_Ganzeboom","3413","estate agents",182
"ISCO88_Ganzeboom","3414","travel consultants & organisers",183
"ISCO88_Ganzeboom","3415","technical & commercial sales representatives",184
"ISCO88_Ganzeboom","3416","buyers",185
"ISCO88_Ganzeboom","3417","appraisers, valuers & auctioneers",186
"ISCO88_Ganzeboom","3419","finance & sales associate professionals nec",187
"ISCO88_Ganzeboom","3420","business services agents and trade brokers",188
"ISCO88_Ganzeboom","3421","trade brokers",189
"ISCO88_Ganzeboom","3422","clearing & forwarding agents",190
"ISCO88_Ganzeboom","3423","employment agents & labour contractors",191
"ISCO88_Ganzeboom","3429","business services agents & trade brokers nec",192
"ISCO88_Ganzeboom","3430","administrative associate professionals",193
"ISCO88_Ganzeboom","3431","administrative secretaries etc associate professionals",194
"ISCO88_Ganzeboom","3432","legal etc business associate professionals",195
"ISCO88_Ganzeboom","3433","bookkeepers",196
"ISCO88_Ganzeboom","3434","statistical, mathematical etc associate professionals",197
"ISCO88_Ganzeboom","3439","administrative associate professionals nec",198
"ISCO88_Ganzeboom","3440","customs, tax etc government associate professionals",199
"ISCO88_Ganzeboom","3441","customs & border inspectors",200
"ISCO88_Ganzeboom","3442","government tax & excise officials",201
"ISCO88_Ganzeboom","3443","government social benefits officials",202
"ISCO88_Ganzeboom","3444","government licensing officials",203
"ISCO88_Ganzeboom","3449","customs tax etc government associate professionals nec",204
"ISCO88_Ganzeboom","3450","[police and army officers]",205
"ISCO88_Ganzeboom","3451","[police inspectors-detectives]",206
"ISCO88_Ganzeboom","3452","[armed forces non-commissioned officers + army nfs]",207
"ISCO88_Ganzeboom","3460","social work associate professionals",208
"ISCO88_Ganzeboom","3470","artistic, entertainment & sports associate professionals",209
"ISCO88_Ganzeboom","3471","decorators & commercial designers",210
"ISCO88_Ganzeboom","3472","radio, television & other announcers",211
"ISCO88_Ganzeboom","3473","street night-club etc musicians singers & dancers",212
"ISCO88_Ganzeboom","3474","clowns magicians acrobats etc associate professionals",213
"ISCO88_Ganzeboom","3475","athletes sportspersons etc associate professionals",214
"ISCO88_Ganzeboom","3480","religious associate professionals",215
"ISCO88_Ganzeboom","4000","clerks",216
"ISCO88_Ganzeboom","4100","office clerks",217
"ISCO88_Ganzeboom","4110","secretaries & keyboard-operating clerks",218
"ISCO88_Ganzeboom","4111","stenographers & typists",219
"ISCO88_Ganzeboom","4112","word-processor etc operators",220
"ISCO88_Ganzeboom","4113","data entry operators",221
"ISCO88_Ganzeboom","4114","calculating-machine operators",222
"ISCO88_Ganzeboom","4115","secretaries",223
"ISCO88_Ganzeboom","4120","numerical clerks",224
"ISCO88_Ganzeboom","4121","accounting & bookkeeping clerks",225
"ISCO88_Ganzeboom","4122","statistical & finance clerks",226
"ISCO88_Ganzeboom","4130","material-recording & transport clerks",227
"ISCO88_Ganzeboom","4131","stock clerks",228
"ISCO88_Ganzeboom","4132","production clerks",229
"ISCO88_Ganzeboom","4133","transport clerks",230
"ISCO88_Ganzeboom","4140","library, mail etc clerks",231
"ISCO88_Ganzeboom","4141","library & filing clerks",232
"ISCO88_Ganzeboom","4142","mail carriers & sorting clerks",233
"ISCO88_Ganzeboom","4143","coding proof-reading etc clerks",234
"ISCO88_Ganzeboom","4144","scribes etc workers",235
"ISCO88_Ganzeboom","4190","other office clerks",236
"ISCO88_Ganzeboom","4200","customer services clerks",237
"ISCO88_Ganzeboom","4210","cashiers, tellers etc clerks",238
"ISCO88_Ganzeboom","4211","cashiers & ticket clerks",239
"ISCO88_Ganzeboom","4212","tellers & other counter clerks",240
"ISCO88_Ganzeboom","4213","bookmakers & croupiers",241
"ISCO88_Ganzeboom","4214","pawnbrokers & money-lenders",242
"ISCO88_Ganzeboom","4215","debt-collectors etc workers",243
"ISCO88_Ganzeboom","4220","client information clerks",244
"ISCO88_Ganzeboom","4221","travel agency etc clerks",245
"ISCO88_Ganzeboom","4222","receptionists & information clerks",246
"ISCO88_Ganzeboom","4223","telephone switchboard operators",247
"ISCO88_Ganzeboom","5000","service workers & shop & market sales workers",248
"ISCO88_Ganzeboom","5100","personal & protective services workers",249
"ISCO88_Ganzeboom","5110","travel attendants etc",250
"ISCO88_Ganzeboom","5111","travel attendants & travel stewards",251
"ISCO88_Ganzeboom","5112","transport conductors",252
"ISCO88_Ganzeboom","5113","travel, museum guides",253
"ISCO88_Ganzeboom","5120","housekeeping & restaurant services workers",254
"ISCO88_Ganzeboom","5121","housekeepers etc workers",255
"ISCO88_Ganzeboom","5122","cooks",256
"ISCO88_Ganzeboom","5123","waiters waitresses & bartenders",257
"ISCO88_Ganzeboom","5130","personal care etc work",258
"ISCO88_Ganzeboom","5131","child-care workers",259
"ISCO88_Ganzeboom","5132","institution-based personal care workers",260
"ISCO88_Ganzeboom","5133","home based personal care workers",261
"ISCO88_Ganzeboom","5139","personal care etc workers nec",262
"ISCO88_Ganzeboom","5140","other personal services workers",263
"ISCO88_Ganzeboom","5141","hairdressers barbers beauticians etc workers",264
"ISCO88_Ganzeboom","5142","companions & valets",265
"ISCO88_Ganzeboom","5143","undertakers & embalmers",266
"ISCO88_Ganzeboom","5149","other personal services workers nec",267
"ISCO88_Ganzeboom","5150","astrologers, fortune-tellers etc workers",268
"ISCO88_Ganzeboom","5151","astrologers etc workers",269
"ISCO88_Ganzeboom","5152","fortune-tellers, palmists etc workers",270
"ISCO88_Ganzeboom","5160","protective services workers",271
"ISCO88_Ganzeboom","5161","fire-fighters",272
"ISCO88_Ganzeboom","5162","police officers",273
"ISCO88_Ganzeboom","5163","prison guards",274
"ISCO88_Ganzeboom","5164","[army: enlisted men - soldiers]",275
"ISCO88_Ganzeboom","5169","protective services workers nec",276
"ISCO88_Ganzeboom","5200","models, salespersons & demonstrators",277
"ISCO88_Ganzeboom","5210","fashion & other models",278
"ISCO88_Ganzeboom","5220","shop salespersons & demonstrators",279
"ISCO88_Ganzeboom","5230","stall & market salespersons",280
"ISCO88_Ganzeboom","6000","skilled agricultural & fishery workers",281
"ISCO88_Ganzeboom","6100","market-oriented skilled agricultural & fishery workers",282
"ISCO88_Ganzeboom","6110","market gardeners & cropgrowers",283
"ISCO88_Ganzeboom","6111","field crop & vegetable growers",284
"ISCO88_Ganzeboom","6112","tree & shrub crop growers",285
"ISCO88_Ganzeboom","6113","gardeners, horticultural & nursery growers",286
"ISCO88_Ganzeboom","6114","mixed-crop growers",287
"ISCO88_Ganzeboom","6120","market-oriented animal producers etc workers",288
"ISCO88_Ganzeboom","6121","dairy & livestock producers",289
"ISCO88_Ganzeboom","6122","poultry producers",290
"ISCO88_Ganzeboom","6123","apiarists & sericulturists",291
"ISCO88_Ganzeboom","6124","mixed -animal producers",292
"ISCO88_Ganzeboom","6129","market-oriented animal producers etc workers nec",293
"ISCO88_Ganzeboom","6130","market-oriented crop & animal producers",294
"ISCO88_Ganzeboom","6131","[mixed farmer]",295
"ISCO88_Ganzeboom","6132","[farm foreman]",296
"ISCO88_Ganzeboom","6133","[farmer nfs]",297
"ISCO88_Ganzeboom","6134","[skilled farm worker nfs]",298
"ISCO88_Ganzeboom","6140","forestry etc workers",299
"ISCO88_Ganzeboom","6141","forestry workers & loggers",300
"ISCO88_Ganzeboom","6142","charcoal burners etc workers",301
"ISCO88_Ganzeboom","6150","fishery workers, hunters & trappers",302
"ISCO88_Ganzeboom","6151","aquatic-life cultivation workers",303
"ISCO88_Ganzeboom","6152","inland & coastal waters fishery workers",304
"ISCO88_Ganzeboom","6153","deep-sea fishery workers",305
"ISCO88_Ganzeboom","6154","hunters & trappers",306
"ISCO88_Ganzeboom","6200","subsistence agricultural & fishery workers",307
"ISCO88_Ganzeboom","6210","subsistence agricultural & fishery workers",308
"ISCO88_Ganzeboom","7000","craft etc trades workers",309
"ISCO88_Ganzeboom","7100","extraction & building trades workers",310
"ISCO88_Ganzeboom","7110","miners, shotfirers, stone cutters & carvers",311
"ISCO88_Ganzeboom","7111","miners & quarry workers",312
"ISCO88_Ganzeboom","7112","shotfirers & blasters",313
"ISCO88_Ganzeboom","7113","stone splitters cutters & carvers",314
"ISCO88_Ganzeboom","7120","[builders] & ar trades workers",315
"ISCO88_Ganzeboom","7121","builders traditional materials",316
"ISCO88_Ganzeboom","7122","bricklayers & stonemasons",317
"ISCO88_Ganzeboom","7123","concrete placers concrete finishers etc workers",318
"ISCO88_Ganzeboom","7124","carpenters & joiners",319
"ISCO88_Ganzeboom","7129","[builders] ar trades workers nec",320
"ISCO88_Ganzeboom","7130","building finishers etc trades workers",321
"ISCO88_Ganzeboom","7131","roofers",322
"ISCO88_Ganzeboom","7132","floor layers & tile setters",323
"ISCO88_Ganzeboom","7133","plasterers",324
"ISCO88_Ganzeboom","7134","insulation workers",325
"ISCO88_Ganzeboom","7135","glaziers",326
"ISCO88_Ganzeboom","7136","plumbers & pipe fitters",327
"ISCO88_Ganzeboom","7137","building etc electricians",328
"ISCO88_Ganzeboom","7140","painters, building structure cleaners etc trades workers",329
"ISCO88_Ganzeboom","7141","painters etc workers",330
"ISCO88_Ganzeboom","7142","varnishers etc painters",331
"ISCO88_Ganzeboom","7143","building structure cleaners",332
"ISCO88_Ganzeboom","7200","metal, machinery etc trades workers",333
"ISCO88_Ganzeboom","7210","metal moulders, welders, sheetmetal workers structural metal",334
"ISCO88_Ganzeboom","7211","metal moulders & coremakers",335
"ISCO88_Ganzeboom","7212","welders & flamecutters",336
"ISCO88_Ganzeboom","7213","sheet-metal workers",337
"ISCO88_Ganzeboom","7214","structural-metal preparers & erectors",338
"ISCO88_Ganzeboom","7215","riggers & cable splicers",339
"ISCO88_Ganzeboom","7216","underwater workers",340
"ISCO88_Ganzeboom","7220","blacksmiths, tool-makers etc trades workers",341
"ISCO88_Ganzeboom","7221","blacksmiths hammer-smiths & forgingpress workers",342
"ISCO88_Ganzeboom","7222","tool-makers etc workers",343
"ISCO88_Ganzeboom","7223","machine-tool setters & setter-operators",344
"ISCO88_Ganzeboom","7224","metal wheel-grinders polishers & tool sharpeners",345
"ISCO88_Ganzeboom","7230","machinery mechanics & fitters",346
"ISCO88_Ganzeboom","7231","motor vehicle mechanics & fitters",347
"ISCO88_Ganzeboom","7232","aircraft engine mechanics & fitters",348
"ISCO88_Ganzeboom","7233","agricultural- or industrial-machinery mechanics & fitters",349
"ISCO88_Ganzeboom","7234","[unskl garage worker, oiler]",350
"ISCO88_Ganzeboom","7240","electrical & electronic equipment mechanics & fitters",351
"ISCO88_Ganzeboom","7241","electrical mechanics & fitters",352
"ISCO88_Ganzeboom","7242","electronics fitters",353
"ISCO88_Ganzeboom","7243","electronics mechanics & servicers",354
"ISCO88_Ganzeboom","7244","telegraph & telephone installers & servlcers",355
"ISCO88_Ganzeboom","7245","electrical line installers repairers & cable jointers",356
"ISCO88_Ganzeboom","7300","precision, handicraft, printing etc trades workers",357
"ISCO88_Ganzeboom","7310","precision workers in metal etc materials",358
"ISCO88_Ganzeboom","7311","precision-instrument makers & repairers",359
"ISCO88_Ganzeboom","7312","musical-instrument makers & tuners",360
"ISCO88_Ganzeboom","7313","jewellery & precious-metal workers",361
"ISCO88_Ganzeboom","7320","potters, glass-makers etc trades workers",362
"ISCO88_Ganzeboom","7321","abrasive wheel formers potters etc workers",363
"ISCO88_Ganzeboom","7322","glass-makers cutters grinders & finishers",364
"ISCO88_Ganzeboom","7323","glass engravers & etchers",365
"ISCO88_Ganzeboom","7324","glass ceramics etc decorative painters",366
"ISCO88_Ganzeboom","7330","handicraft workers in wood,textile, leather etc",367
"ISCO88_Ganzeboom","7331","handicraft workers in wood etc materials",368
"ISCO88_Ganzeboom","7332","handicraft workers in textile leather etc materials",369
"ISCO88_Ganzeboom","7340","printing etc trades workers",370
"ISCO88_Ganzeboom","7341","compositors typesetters etc workers",371
"ISCO88_Ganzeboom","7342","stereotypers & electrotypers",372
"ISCO88_Ganzeboom","7343","printing engravers & etchers",373
"ISCO88_Ganzeboom","7344","photographic etc workers",374
"ISCO88_Ganzeboom","7345","bookbinders etc workers",375
"ISCO88_Ganzeboom","7346","silk-screen, block & textile printers",376
"ISCO88_Ganzeboom","7400","other craft etc trades workers",377
"ISCO88_Ganzeboom","7410","food processing etc trades workers",378
"ISCO88_Ganzeboom","7411","butchers fishmongers etc food preparers",379
"ISCO88_Ganzeboom","7412","bakers-pastry cooks & confectionery makers",380
"ISCO88_Ganzeboom","7413","dairy-products makers",381
"ISCO88_Ganzeboom","7414","fruit, vegetable etc preservers",382
"ISCO88_Ganzeboom","7415","food & beverage tasters & graders",383
"ISCO88_Ganzeboom","7416","tobacco preparers & tobacco products makers",384
"ISCO88_Ganzeboom","7420","wood treaters, cabinet-makers etc trades workers",385
"ISCO88_Ganzeboom","7421","wood treaters",386
"ISCO88_Ganzeboom","7422","cabinet-makers etc workers",387
"ISCO88_Ganzeboom","7423","woodworking-machine setters & setteroperators",388
"ISCO88_Ganzeboom","7424","basketry weavers brush makers etc workers",389
"ISCO88_Ganzeboom","7430","textile, garment etc trades workers",390
"ISCO88_Ganzeboom","7431","fibre preparers",391
"ISCO88_Ganzeboom","7432","weavers knitters etc workers",392
"ISCO88_Ganzeboom","7433","tailors dressmakers & hatters",393
"ISCO88_Ganzeboom","7434","furriers etc workers",394
"ISCO88_Ganzeboom","7435","textile leather etc pattern-makers & cutters",395
"ISCO88_Ganzeboom","7436","sewers embroiderers etc workers",396
"ISCO88_Ganzeboom","7437","upholsterers etc workers",397
"ISCO88_Ganzeboom","7440","pelt, leather & shoemaking trades workers",398
"ISCO88_Ganzeboom","7441","pelt dressers tanners & fellmongers",399
"ISCO88_Ganzeboom","7442","shoe-makers etc workers",400
"ISCO88_Ganzeboom","7500","[skilled manual worker nfs]",401
"ISCO88_Ganzeboom","7510","[non farm foremen nfs]",402
"ISCO88_Ganzeboom","7520","[skilled manual nfs]",403
"ISCO88_Ganzeboom","7530","[apprentice skilled work nfs]",404
"ISCO88_Ganzeboom","8000","plant & machine operators & assemblers",405
"ISCO88_Ganzeboom","8100","stationary-plant etc operators",406
"ISCO88_Ganzeboom","8110","mining- & mineral-processing plant operators",407
"ISCO88_Ganzeboom","8111","mining-plant operators",408
"ISCO88_Ganzeboom","8112","mineral-ore- & stone-processing-plant operators",409
"ISCO88_Ganzeboom","8113","well drillers & borers etc workers",410
"ISCO88_Ganzeboom","8120","metal-processing-plant operators",411
"ISCO88_Ganzeboom","8121","ore & metal furnace operators",412
"ISCO88_Ganzeboom","8122","metal melters casters & rolling-mill operators",413
"ISCO88_Ganzeboom","8123","metal-heat-treating-plant operators",414
"ISCO88_Ganzeboom","8124","metal drawers & extruders",415
"ISCO88_Ganzeboom","8130","glass, ceramics etc plant operators",416
"ISCO88_Ganzeboom","8131","glass & ceramics kiln etc machine operators",417
"ISCO88_Ganzeboom","8139","glass, ceramics etc plant operators nec",418
"ISCO88_Ganzeboom","8140","wood-processing- & papermaking-plant operators",419
"ISCO88_Ganzeboom","8141","wood-processing-plant operators",420
"ISCO88_Ganzeboom","8142","paper-pulp plant operators",421
"ISCO88_Ganzeboom","8143","papermaking-plant operators",422
"ISCO88_Ganzeboom","8150","chemical-processing-plant operators",423
"ISCO88_Ganzeboom","8151","crushing- grinding- & chemical-mixing machinery operators",424
"ISCO88_Ganzeboom","8152","chemical-heat-treating-plant operators",425
"ISCO88_Ganzeboom","8153","chemical-filtering- & separating-equipment operators",426
"ISCO88_Ganzeboom","8154","chemical-still & reactor operators",427
"ISCO88_Ganzeboom","8155","petroleum- & natural-gas-refining-plant operators",428
"ISCO88_Ganzeboom","8159","chemical-processing-plant operators nec",429
"ISCO88_Ganzeboom","8160","power-production etc plant operators",430
"ISCO88_Ganzeboom","8161","power-production plant operators",431
"ISCO88_Ganzeboom","8162","steam-engine & boiler operators",432
"ISCO88_Ganzeboom","8163","incinerator water-treatment etc plant operators",433
"ISCO88_Ganzeboom","8170","automated-assembly-line & industrial-robot operators",434
"ISCO88_Ganzeboom","8171","automated-assembly- line operators",435
"ISCO88_Ganzeboom","8172","industrial-robot operators",436
"ISCO88_Ganzeboom","8200","machine operators & assemblers",437
"ISCO88_Ganzeboom","8210","metal- & mineral-products machine operators",438
"ISCO88_Ganzeboom","8211","machine-tool operators",439
"ISCO88_Ganzeboom","8212","cement & other mineral products machine operators",440
"ISCO88_Ganzeboom","8220","chemical-products machine operators",441
"ISCO88_Ganzeboom","8221","pharmaceutical- & toiletry-products machine operators",442
"ISCO88_Ganzeboom","8222","ammunition- & explosive-products machine operators",443
"ISCO88_Ganzeboom","8223","metal finishing- plating- & coating-machlne operators",444
"ISCO88_Ganzeboom","8224","photographic-products machine operators",445
"ISCO88_Ganzeboom","8229","chemical-products machine operators nec",446
"ISCO88_Ganzeboom","8230","rubber- & plastic-products machine operators",447
"ISCO88_Ganzeboom","8231","rubber-products machine operators",448
"ISCO88_Ganzeboom","8232","plastic-products machine operators",449
"ISCO88_Ganzeboom","8240","wood-products machine operators",450
