"ConceptScheme","Concept","prefLabel","sortorder"
"ISCO-88_ILO","3439","Administrative associate professionals not elsewhere classified",204
"ISCO-88_ILO","344","CUSTOMS, TAX AND RELATED GOVERNMENT ASSOCIATE PROFESSIONALS",205
"ISCO-88_ILO","3441","Customs and border inspectors",206
"ISCO-88_ILO","3442","Government tax and excise officials",207
"ISCO-88_ILO","3443","Government social benefits officials",208
"ISCO-88_ILO","3444","Government licensing officials",209
"ISCO-88_ILO","3449","Customs, tax and related government associate professionals not elsewhere classified",210
"ISCO-88_ILO","345","POLICE INSPECTORS AND DETECTIVES",211
"ISCO-88_ILO","3450","Police inspectors and detectives",212
"ISCO-88_ILO","346","SOCIAL WORK ASSOCIATE PROFESSIONALS",213
"ISCO-88_ILO","3460","Social work associate professionals",214
"ISCO-88_ILO","347","ARTISTIC, ENTERTAINMENT AND SPORTS ASSOCIATE PROFESSIONALS",215
"ISCO-88_ILO","3471","Decorators and commercial designers",216
"ISCO-88_ILO","3472","Radio, television and other announcers",217
"ISCO-88_ILO","3473","Street, night-club and related musicians, singers and dancers",218
"ISCO-88_ILO","3474","Clowns, magicians, acrobats and related associate professionals",219
"ISCO-88_ILO","3475","Athletes, sportspersons and related associate professionals",220
"ISCO-88_ILO","348","RELIGIOUS ASSOCIATE PROFESSIONALS",221
"ISCO-88_ILO","3480","Religious associate professionals",222
"ISCO-88_ILO","4","CLERKS",223
"ISCO-88_ILO","41","OFFICE CLERKS",224
"ISCO-88_ILO","411","SECRETARIES AND KEYBOARD-OPERATING CLERKS",225
"ISCO-88_ILO","4111","Stenographers and typists",226
"ISCO-88_ILO","4112","Word-processor and related operators",227
"ISCO-88_ILO","4113","Data entry operators",228
"ISCO-88_ILO","4114","Calculating-machine operators",229
"ISCO-88_ILO","4115","Secretaries",230
"ISCO-88_ILO","412","NUMERICAL CLERKS",231
"ISCO-88_ILO","4121","Accounting and bookkeeping clerks",232
"ISCO-88_ILO","4122","Statistical and finance clerks",233
"ISCO-88_ILO","413","MATERIAL-RECORDING AND TRANSPORT CLERKS",234
"ISCO-88_ILO","4131","Stock clerks",235
"ISCO-88_ILO","4132","Production clerks",236
"ISCO-88_ILO","4133","Transport clerks",237
"ISCO-88_ILO","414","LIBRARY, MAIL AND RELATED CLERKS",238
"ISCO-88_ILO","4141","Library and filing clerks",239
"ISCO-88_ILO","4142","Mail carriers and sorting clerks",240
"ISCO-88_ILO","4143","Coding, proof-reading and related clerks",241
"ISCO-88_ILO","4144","Scribes and related workers",242
"ISCO-88_ILO","419","OTHER OFFICE CLERKS",243
"ISCO-88_ILO","4190","Other office clerks",244
"ISCO-88_ILO","42","CUSTOMER SERVICES CLERKS",245
"ISCO-88_ILO","421","CASHIERS, TELLERS AND RELATED CLERKS",246
"ISCO-88_ILO","4211","Cashiers and ticket clerks",247
"ISCO-88_ILO","4212","Tellers and other counter clerks",248
"ISCO-88_ILO","4213","Bookmakers and croupiers",249
"ISCO-88_ILO","4214","Pawnbrokers and money-lenders",250
"ISCO-88_ILO","4215","Debt-collectors and related workers",251
"ISCO-88_ILO","422","CLIENT INFORMATION CLERKS",252
"ISCO-88_ILO","4221","Travel agency and related clerks",253
"ISCO-88_ILO","4222","Receptionists and information clerks",254
"ISCO-88_ILO","4223","Telephone switchboard operators",255
"ISCO-88_ILO","5","SERVICE WORKERS AND SHOP AND MARKET SALES WORKERS",256
"ISCO-88_ILO","51","PERSONAL AND PROTECTIVE SERVICES WORKERS",257
"ISCO-88_ILO","511","TRAVEL ATTENDANTS AND RELATED WORKERS",258
"ISCO-88_ILO","5111","Travel attendants and travel stewards",259
"ISCO-88_ILO","5112","Transport conductors",260
"ISCO-88_ILO","5113","Travel guides",261
"ISCO-88_ILO","512","HOUSEKEEPING AND RESTAURANT SERVICES WORKERS",262
"ISCO-88_ILO","5121","Housekeepers and related workers",263
"ISCO-88_ILO","5122","Cooks",264
"ISCO-88_ILO","5123","Waiters, waitresses and bartenders",265
"ISCO-88_ILO","513","PERSONAL CARE AND RELATED WORKERS",266
"ISCO-88_ILO","5131","Child-care workers",267
"ISCO-88_ILO","5132","Institution-based personal care workers",268
"ISCO-88_ILO","5133","Home-based personal care workers",269
"ISCO-88_ILO","5139","Personal care and related workers not elsewhere classified",270
"ISCO-88_ILO","514","OTHER PERSONAL SERVICES WORKERS",271
"ISCO-88_ILO","5141","Hairdressers, barbers, beauticians and related workers",272
"ISCO-88_ILO","5142","Companions and valets",273
"ISCO-88_ILO","5143","Undertakers and embalmers",274
"ISCO-88_ILO","5149","Other personal services workers not elsewhere classified",275
"ISCO-88_ILO","515","ASTROLOGERS, FORTUNE-TELLERS AND RELATED WORKERS",276
"ISCO-88_ILO","5151","Astrologers and related workers",277
"ISCO-88_ILO","5152","Fortune-tellers, palmists and related workers",278
"ISCO-88_ILO","516","PROTECTIVE SERVICES WORKERS",279
"ISCO-88_ILO","5161","Fire-fighters",280
"ISCO-88_ILO","5162","Police officers",281
"ISCO-88_ILO","5163","Prison guards",282
"ISCO-88_ILO","5169","Protective services workers not elsewhere classified",283
"ISCO-88_ILO","52","MODELS, SALESPERSONS AND DEMONSTRATORS",284
"ISCO-88_ILO","521","FASHION AND OTHER MODELS",285
"ISCO-88_ILO","5210","Fashion and other models",286
"ISCO-88_ILO","522","SHOP SALESPERSONS AND DEMONSTRATORS",287
"ISCO-88_ILO","5220","Shop salespersons and demonstrators",288
"ISCO-88_ILO","523","STALL AND MARKET SALESPERSONS",289
"ISCO-88_ILO","5230","Stall and market salespersons",290
"ISCO-88_ILO","6","SKILLED AGRICULTURAL AND FISHERY WORKERS",291
"ISCO-88_ILO","61","MARKET-ORIENTED SKILLED AGRICULTURAL AND FISHERY WORKERS",292
"ISCO-88_ILO","611","MARKET GARDENERS AND CROP GROWERS",293
"ISCO-88_ILO","6111","Field crop and vegetable growers",294
"ISCO-88_ILO","6112","Tree and shrub crop growers",295
"ISCO-88_ILO","6113","Gardeners, horticultural and nursery growers",296
"ISCO-88_ILO","6114","Mixed-crop growers",297
"ISCO-88_ILO","612","MARKET-ORIENTED ANIMAL PRODUCERS AND RELATED WORKERS",298
"ISCO-88_ILO","6121","Dairy and livestock producers",299
"ISCO-88_ILO","6122","Poultry producers",300
"ISCO-88_ILO","6123","Apiarists and sericulturists",301
"ISCO-88_ILO","6124","Mixed-animal producers",302
"ISCO-88_ILO","6129","Market-oriented animal producers and related workers not elsewhere classified",303
"ISCO-88_ILO","613","MARKET-ORIENTED CROP AND ANIMAL PRODUCERS",304
"ISCO-88_ILO","6130","Market-oriented crop and animal producers",305
"ISCO-88_ILO","614","FORESTRY AND RELATED WORKERS",306
"ISCO-88_ILO","6141","Forestry workers and loggers",307
"ISCO-88_ILO","6142","Charcoal burners and related workers",308
"ISCO-88_ILO","615","FISHERY WORKERS, HUNTERS AND TRAPPERS",309
"ISCO-88_ILO","6151","Aquatic-life cultivation workers",310
"ISCO-88_ILO","6152","Inland and coastal waters fishery workers",311
"ISCO-88_ILO","6153","Deep-sea fishery workers",312
"ISCO-88_ILO","6154","Hunters and trappers",313
"ISCO-88_ILO","62","SUBSISTENCE AGRICULTURAL AND FISHERY WORKERS",314
"ISCO-88_ILO","621","SUBSISTENCE AGRICULTURAL AND FISHERY WORKERS",315
"ISCO-88_ILO","6210","Subsistence agricultural and fishery workers",316
"ISCO-88_ILO","7","CRAFT AND RELATED TRADES WORKERS",317
"ISCO-88_ILO","71","EXTRACTION AND BUILDING TRADES WORKERS",318
"ISCO-88_ILO","711","MINERS, SHOTFIRERS, STONE CUTTERS AND CARVERS",319
"ISCO-88_ILO","7111","Miners and quarry workers",320
"ISCO-88_ILO","7112","Shotfirers and blasters",321
"ISCO-88_ILO","7113","Stone splitters, cutters and carvers",322
"ISCO-88_ILO","712","BUILDING FRAME AND RELATED TRADES WORKERS",323
"ISCO-88_ILO","7121","Builders, traditional materials",324
"ISCO-88_ILO","7122","Bricklayers and stonemasons",325
"ISCO-88_ILO","7123","Concrete placers, concrete finishers and related workers",326
"ISCO-88_ILO","7124","Carpenters and joiners",327
"ISCO-88_ILO","7129","Building frame and related trades workers not elsewhere classified",328
"ISCO-88_ILO","713","BUILDING FINISHERS AND RELATED TRADES WORKERS",329
"ISCO-88_ILO","7131","Roofers",330
"ISCO-88_ILO","7132","Floor layers and tile setters",331
"ISCO-88_ILO","7133","Plasterers",332
"ISCO-88_ILO","7134","Insulation workers",333
"ISCO-88_ILO","7135","Glaziers",334
"ISCO-88_ILO","7136","Plumbers and pipe fitters",335
"ISCO-88_ILO","7137","Building and related electricians",336
"ISCO-88_ILO","714","PAINTERS, BUILDING STRUCTURE CLEANERS AND RELATED TRADES WORKERS",337
"ISCO-88_ILO","7141","Painters and related workers",338
"ISCO-88_ILO","7142","Varnishers and related painters",339
"ISCO-88_ILO","7143","Building structure cleaners",340
"ISCO-88_ILO","72","METAL, MACHINERY AND RELATED TRADES WORKERS",341
"ISCO-88_ILO","721","METAL MOULDERS, WELDERS, SHEET-METAL WORKERS, STRUCTURAL- METAL PREPARERS, AND RELATED TRADES WORKERS",342
"ISCO-88_ILO","7211","Metal moulders and coremakers",343
"ISCO-88_ILO","7212","Welders and flamecutters",344
"ISCO-88_ILO","7213","Sheet metal workers",345
"ISCO-88_ILO","7214","Structural-metal preparers and erectors",346
"ISCO-88_ILO","7215","Riggers and cable splicers",347
"ISCO-88_ILO","7216","Underwater workers",348
"ISCO-88_ILO","722","BLACKSMITHS, TOOL-MAKERS AND RELATED TRADES WORKERS",349
"ISCO-88_ILO","7221","Blacksmiths, hammer-smiths and forging-press workers",350
"ISCO-88_ILO","7222","Tool-makers and related workers",351
"ISCO-88_ILO","7223","Machine-tool setters and setter-operators",352
"ISCO-88_ILO","7224","Metal wheel-grinders, polishers and tool sharpeners",353
"ISCO-88_ILO","723","MACHINERY MECHANICS AND FITTERS",354
"ISCO-88_ILO","7231","Motor vehicle mechanics and fitters",355
"ISCO-88_ILO","7232","Aircraft engine mechanics and fitters",356
"ISCO-88_ILO","7233","Agricultural- or industrial-machinery mechanics and fitters",357
"ISCO-88_ILO","724","ELECTRICAL AND ELECTRONIC EQUIPMENT MECHANICS AND FITTERS",358
"ISCO-88_ILO","7241","Electrical mechanics and fitters",359
"ISCO-88_ILO","7242","Electronics fitters",360
"ISCO-88_ILO","7243","Electronics mechanics and servicers",361
"ISCO-88_ILO","7244","Telegraph and telephone installers and servicers",362
"ISCO-88_ILO","7245","Electrical line installers, repairers and cable jointers",363
"ISCO-88_ILO","73","PRECISION, HANDICRAFT, PRINTING AND RELATED TRADES WORKERS",364
"ISCO-88_ILO","731","PRECISION WORKERS IN METAL AND RELATED MATERIALS",365
"ISCO-88_ILO","7311","Precision-instrument makers and repairers",366
"ISCO-88_ILO","7312","Musical instrument makers and tuners",367
"ISCO-88_ILO","7313","Jewellery and precious-metal workers",368
"ISCO-88_ILO","732","POTTERS, GLASS-MAKERS AND RELATED TRADES WORKERS",369
"ISCO-88_ILO","7321","Abrasive wheel formers, potters and related workers",370
"ISCO-88_ILO","7322","Glass makers, cutters, grinders and finishers",371
"ISCO-88_ILO","7323","Glass engravers and etchers",372
"ISCO-88_ILO","7324","Glass, ceramics and related decorative painters",373
"ISCO-88_ILO","733","HANDICRAFT WORKERS IN WOOD,TEXTILE, LEATHER AND RELATED MATERIALS",374
"ISCO-88_ILO","7331","Handicraft workers in wood and related materials",375
"ISCO-88_ILO","7332","Handicraft workers in textile, leather and related materials",376
"ISCO-88_ILO","734","PRINTING AND RELATED TRADES WORKERS",377
"ISCO-88_ILO","7341","Compositors, typesetters and related workers",378
"ISCO-88_ILO","7342","Stereotypers and electrotypers",379
"ISCO-88_ILO","7343","Printing engravers and etchers",380
"ISCO-88_ILO","7344","Photographic and related workers",381
"ISCO-88_ILO","7345","Bookbinders and related workers",382
"ISCO-88_ILO","7346","Silk-screen, block and textile printers",383
"ISCO-88_ILO","74","OTHER CRAFT AND RELATED TRADES WORKERS",384
"ISCO-88_ILO","741","FOOD PROCESSING AND RELATED TRADES WORKERS",385
"ISCO-88_ILO","7411","Butchers, fishmongers and related food preparers",386
"ISCO-88_ILO","7412","Bakers, pastry-cooks and confectionery makers",387
"ISCO-88_ILO","7413","Dairy-products makers",388
"ISCO-88_ILO","7414","Fruit, vegetable and related preservers",389
"ISCO-88_ILO","7415","Food and beverage tasters and graders",390
"ISCO-88_ILO","7416","Tobacco preparers and tobacco products makers",391
"ISCO-88_ILO","742","WOOD TREATERS, CABINET-MAKERS AND RELATED TRADES WORKERS",392
"ISCO-88_ILO","7421","Wood treaters",393
"ISCO-88_ILO","7422","Cabinet makers and related workers",394
"ISCO-88_ILO","7423","Woodworking machine setters and setter-operators",395
"ISCO-88_ILO","7424","Basketry weavers, brush makers and related workers",396
"ISCO-88_ILO","743","TEXTILE, GARMENT AND RELATED TRADES WORKERS",397
"ISCO-88_ILO","7431","Fibre preparers",398
"ISCO-88_ILO","7432","Weavers, knitters and related workers",399
"ISCO-88_ILO","7433","Tailors, dressmakers and hatters",400
"ISCO-88_ILO","7434","Furriers and related workers",401
"ISCO-88_ILO","7435","Textile, leather and related pattern-makers and cutters",402
"ISCO-88_ILO","7436","Sewers, embroiderers and related workers",403
"ISCO-88_ILO","7437","Upholsterers and related workers",404
"ISCO-88_ILO","744","PELT, LEATHER AND SHOEMAKING TRADES WORKERS",405
"ISCO-88_ILO","7441","Pelt dressers, tanners and fellmongers",406
"ISCO-88_ILO","7442","Shoe-makers and related workers",407
"ISCO-88_ILO","8","PLANT AND MACHINE OPERATORS AND ASSEMBLERS",408
"ISCO-88_ILO","81","STATIONARY-PLANT AND RELATED OPERATORS",409
"ISCO-88_ILO","811","MINING- AND MINERAL-PROCESSING-PLANT OPERATORS",410
"ISCO-88_ILO","8111","Mining-plant operators",411
"ISCO-88_ILO","8112","Mineral-ore- and stone-processing-plant operators",412
"ISCO-88_ILO","8113","Well drillers and borers and related workers",413
"ISCO-88_ILO","812","METAL-PROCESSING-PLANT OPERATORS",414
"ISCO-88_ILO","8121","Ore and metal furnace operators",415
"ISCO-88_ILO","8122","Metal melters, casters and rolling-mill operators",416
"ISCO-88_ILO","8123","Metal-heat-treating-plant operators",417
"ISCO-88_ILO","8124","Metal drawers and extruders",418
"ISCO-88_ILO","813","GLASS, CERAMICS AND RELATED PLANT OPERATORS",419
"ISCO-88_ILO","8131","Glass and ceramics kiln and related machine operators",420
